job_position,technology_skills,knowledge,skills
, Pegasystems SmartBPM,,
, SAP ERP Financials  (see all 5 examples)File versioning software ,,
, Version control software Filesystem software ,,
, File system software Graphics or photo imaging software ,,
, Adobe Systems Adobe Photoshop  ,,
, Microsoft Visio Object or component oriented development software ,,
, Oracle Java  ,,
, Practical extraction and reporting language Perl  ,,
, SAP PowerBuilder Operating system software ,,
, IBM MVS,,
, Linux  ,,
, Microsoft Windows  ,,
, UNIX Optical character reader OCR or scanning software ,,
, Optical character recognition OCR software Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Central Desktop,,
, Microsoft Project  ,,
, Microsoft SharePoint Requirements analysis and system architecture software ,,
, Unified modeling language UML Sales and marketing software ,,
, Google AdWords Spreadsheet software ,,
, Microsoft Excel Video creation and editing software ,,
, Apple Final Cut Pro Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver Web platform development software ,,
, Hypertext markup language HTML Word processing software ,,
, Microsoft Word ,,
Geographic Information Systems Technicians,Analytical or scientific software ,Computers and Electronics,Critical Thinking
, Coordinate geometry COGO software,Geography,Reading Comprehension
, ESRI ArcGIS Geostatistical Analyst,English Language,Complex Problem Solving
, ESRI ArcGIS Spatial Analyst,Mathematics,Speaking
, Landmark GeoGraphix Application server software ,Design,Active Learning
, ESRI ArcSDE Computer aided design CAD software   ,Engineering and Technology,Judgment and Decision Making
, Autodesk AutoCAD  ,Customer and Personal Service,Active Listening
, Autodesk Land Desktop,,Mathematics
, Bentley Microstation  ,,Writing
, Computer aided design and drafting software CADD Data base management system software ,,Coordination
, Microsoft SQL Server  ,,Monitoring
, Relational database management system RDMS Data base reporting software ,,Systems Analysis
, SAP BusinessObjects Crystal Reports Data base user interface and query software ,,Time Management
, Autodesk Topobase,,
, ESRI ArcEditor,,
, Microsoft Access  ,,
, Structured query language SQL  (see all 5 examples)Development environment software ,,
, C  ,,
, List processing language LISP,,
, Microsoft .NET Framework  ,,
, Microsoft Visual Studio  (see all 5 examples)Document management software ,,
, Adobe Systems Adobe Acrobat  ,,
, Microsoft Office SharePoint Server MOSS Electronic mail software ,,
, Email software Enterprise application integration software ,,
, Extensible markup language XML  ,,
, IBM WebSphere Enterprise resource planning ERP software   ,,
, SAP Graphics or photo imaging software ,,
, Adobe Systems Adobe Illustrator  ,,
, Adobe Systems Adobe Photoshop  ,,
, Microsoft Visio Internet browser software ,,
