job_position,technology_skills,knowledge,skills
, NCR Advanced Store Time accounting software ,,
, Electronic Time Clock ETC ,,
Procurement Clerks,Accounting software ,Clerical,Reading Comprehension
, Intuit QuickBooks Calendar and scheduling software ,Customer and Personal Service,Speaking
, Work scheduling software Data base user interface and query software ,Administration and Management,Active Listening
, Data entry software  ,English Language,Writing
, Microsoft Access Electronic mail software ,Education and Training,Complex Problem Solving
, Microsoft Outlook Enterprise resource planning ERP software   ,Mathematics,Critical Thinking
, Autotask,Computers and Electronics,Judgment and Decision Making
, Oracle JD Edwards EnterpriseOne  ,Transportation,Monitoring
, Oracle PeopleSoft  ,Public Safety and Security,Social Perceptiveness
, Radiant Systems CounterPoint  (see all 6 examples)Internet browser software ,Production and Processing,Active Learning
, Web browser software Inventory management software ,,Time Management
, Inventory tracking software Office suite software ,,Coordination
, Microsoft Office Presentation software ,,Service Orientation
, Microsoft PowerPoint Project management software ,,
, Microsoft SharePoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Receptionists and Information Clerks,Accounting software ,,Active Listening
, Billing software,,Speaking
, Bookkeeping software,,Service Orientation
, Intuit QuickBooks Calendar and scheduling software ,,Critical Thinking
, Appointment scheduling software,,Reading Comprehension
, Electronic calendar management software Customer relationship management CRM softwareData base user interface and query software ,,Writing
, Claim processing system software,,Coordination
, Data entry software  ,,Social Perceptiveness
, FileMaker Pro,,Active Learning
, IBM Check Processing Control System CPSC  (see all 8 examples)Desktop publishing software ,,
, Microsoft Publisher Document management software ,,
, Filing system software Electronic mail software ,,
, Email software,,
, IBM Notes  ,,
, Microsoft Outlook Internet browser software ,,
, Web browser software Medical software ,,
, Kodak Dental Systems Kodak SOFTDENT Practice management software PMS,,
, McKesson Lytec,,
, Medical condition coding software  ,,
, Medical procedure coding software  (see all 6 examples)Network conferencing software ,,
, Microsoft Office SharePoint Server MOSS Office suite software ,,
, Corel WordPerfect,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Time accounting software ,,
, HMS Word processing software ,,
, Microsoft Word ,,
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Access software ,,Writing
, Citrix Accounting software ,,Active Listening
, Fund accounting software  ,,Reading Comprehension
, Intuit QuickBooks  ,,Speaking
, Sage 50 Accounting,,Time Management
, Tax software Analytical or scientific software ,,Service Orientation
, IBM SPSS Statistics Backup or archival software ,,Coordination
, Veritas NetBackup Business intelligence and data analysis software ,,Critical Thinking
, IBM Cognos Impromptu  ,,Judgment and Decision Making
, MicroStrategy  ,,Monitoring
